,i,t,Dt,x,Dx,a,Da
0,0,0.0,0.005,0.0,0.005,0.0,0.0
1,1,0.013999999999999999,0.005,0.001,0.005,10.204081632653063,72.8862973760933
2,2,0.025,0.005,0.001,0.005,3.1999999999999993,22.69970924923929
3,3,0.042,0.005,0.003,0.005,3.401360544217687,8.098477486232587
4,4,0.06,0.005,0.004,0.005,2.2222222222222223,3.9631360294504994
5,5,0.07200000000000001,0.005,0.008,0.005,3.0864197530864192,2.794582649692493
6,6,0.08800000000000001,0.005,0.01,0.005,2.582644628099173,1.8727761238664318
7,7,0.102,0.005,0.013000000000000001,0.005,2.499038831218763,1.4027631955981033
8,8,0.115,0.005,0.018000000000000002,0.005,2.7221172022684312,1.120520327368648
9,9,0.132,0.005,0.022000000000000002,0.005,2.525252525252525,0.8555509555784319
10,10,0.154,0.005,0.03,0.005,2.5299375948726595,0.6399726103039804
11,11,0.165,0.005,0.034,0.005,2.497704315886134,0.5618379433054956
12,12,0.184,0.005,0.044000000000000004,0.005,2.599243856332704,0.46302900204754527
13,13,0.196,0.005,0.049,0.005,2.551020408163265,0.41158341058001596
14,14,0.212,0.005,0.059000000000000004,0.006,2.625489498042008,0.38919002962522
15,15,0.222,0.005,0.065,0.006,2.6377729080431784,0.35873694082579766
16,16,0.243,0.005,0.076,0.006,2.574133346881404,0.3040089559325094
17,17,0.26,0.005,0.087,0.006,2.5739644970414197,0.2701776235272655
18,18,0.267,0.005,0.091,0.006,2.5529885396063907,0.25748179838809865
19,19,0.281,0.005,0.10300000000000001,0.006,2.6088828662250982,0.2374331530497675
20,20,0.304,0.005,0.11900000000000001,0.006,2.5753116343490308,0.20717630328860023
21,21,0.313,0.005,0.128,0.006,2.6130714817952616,0.19839746948768147
22,22,0.33399999999999996,0.005,0.145,0.006,2.5995912366883003,0.17810766005328446
23,23,0.34,0.005,0.15,0.006999999999999999,2.59515570934256,0.18385341555559662
24,24,0.35600000000000004,0.005,0.166,0.006999999999999999,2.619618735008206,0.17104975266311276
25,25,0.37799999999999995,0.005,0.18600000000000003,0.006999999999999999,2.603510540018478,0.15487523466878841
26,26,0.387,0.005,0.196,0.006999999999999999,2.6173640740073045,0.14948037653795063
27,27,0.408,0.005,0.21600000000000003,0.006999999999999999,2.5951557093425612,0.13701679443996365
28,28,0.42100000000000004,0.005,0.23,0.006999999999999999,2.5953362935212505,0.13047271735714294
29,29,0.43700000000000006,0.005,0.249,0.006999999999999999,2.607753090815786,0.12344397835599848
30,30,0.45,0.005,0.264,0.008,2.607407407407407,0.12408160136589182
31,31,0.461,0.005,0.278,0.008,2.616212044927325,0.11968076901132446
32,32,0.48200000000000004,0.005,0.303,0.008,2.6084261634613726,0.11159280611780768
33,33,0.49700000000000005,0.005,0.321,0.008,2.5990955795132966,0.1063224196216378
34,34,0.505,0.005,0.33,0.008,2.5879815704342715,0.10356778852266904
35,35,0.526,0.005,0.359,0.009000000000000001,2.595093177579551,0.10201493529988681
36,36,0.5429999999999999,0.005,0.38299999999999995,0.009000000000000001,2.5979399624892747,0.0972383123112822
37,37,0.555,0.005,0.4,0.009000000000000001,2.5971917863809755,0.09406704342031305
38,38,0.568,0.005,0.42100000000000004,0.009000000000000001,2.609849236262647,0.09108233386911681
39,39,0.585,0.005,0.446,0.009000000000000001,2.606472350062094,0.08712400790207567
40,40,0.595,0.005,0.461,0.01,2.6043358519878543,0.08843662798253417
41,41,0.614,0.005,0.49,0.01,2.5994970768920624,0.08427848621252379
42,42,0.633,0.005,0.52,0.01,2.5955292009513613,0.08047891634166622
 
